	t	genotype	recovered_window
0	39.8	28.0	40.0
1	40.0	11.0	40.0
2	38.2	14.0	40.0
3	37.7	0.0	40.0
4	38.5	16.0	40.0
5	39.0	0.0	40.0
6	39.4	0.0	40.0
7	39.2	10.0	40.0
8	37.9	0.0	40.0
9	36.8	0.0	40.0
10	37.1	0.0	40.0
11	38.6	0.0	40.0
12	38.0	0.0	40.0
13	39.0	17.0	40.0
14	37.7	5.0	40.0
15	38.1	4.0	40.0
16	36.7	10.0	40.0
17	38.4	11.0	40.0
18	37.3	0.0	40.0
19	37.4	5.0	40.0
20	39.2	15.0	40.0
21	40.0	4.0	40.0
22	38.2	0.0	40.0
23	36.9	0.0	40.0
24	39.4	10.0	40.0
25	37.3	0.0	40.0
26	37.6	0.0	40.0
27	38.5	15.0	40.0
28	38.8	5.0	40.0
29	38.7	0.0	40.0
30	38.2	5.0	40.0
31	38.8	16.0	40.0
32	38.1	17.0	40.0
33	39.5	0.0	40.0
34	36.1	0.0	40.0
35	39.5	16.0	40.0
36	37.2	4.0	40.0
37	37.9	0.0	40.0
38	39.6	0.0	40.0
39	39.1	0.0	40.0
0	41.8	16.0	44.0
1	42.8	14.0	44.0
2	40.5	0.0	44.0
3	43.0	0.0	44.0
4	43.2	26.0	44.0
5	41.1	16.0	44.0
6	43.7	4.0	44.0
7	43.3	19.0	44.0
8	43.0	0.0	44.0
9	40.4	5.0	44.0
10	41.8	4.0	44.0
11	40.7	0.0	44.0
12	40.5	4.0	44.0
13	43.9	0.0	44.0
14	42.0	16.0	44.0
15	43.7	32.0	44.0
16	41.9	28.0	44.0
17	41.4	16.0	44.0
18	41.1	0.0	44.0
19	43.2	16.0	44.0
20	42.3	29.0	44.0
21	42.4	31.0	44.0
22	40.5	0.0	44.0
23	41.3	20.0	44.0
24	40.4	0.0	44.0
25	43.6	38.0	44.0
26	42.2	4.0	44.0
27	42.7	0.0	44.0
28	41.5	0.0	44.0
29	41.2	0.0	44.0
30	42.7	21.0	44.0
31	41.4	5.0	44.0
32	41.1	0.0	44.0
33	41.2	25.0	44.0
34	44.0	4.0	44.0
35	43.9	18.0	44.0
36	42.8	29.0	44.0
37	40.2	10.0	44.0
38	42.5	22.0	44.0
39	41.6	33.0	44.0
0	46.4	27.0	48.0
1	47.9	26.0	48.0
2	46.7	0.0	48.0
3	44.9	4.0	48.0
4	45.5	37.0	48.0
5	46.4	4.0	48.0
6	45.2	0.0	48.0
7	45.3	9.0	48.0
8	46.3	16.0	48.0
9	46.4	16.0	48.0
10	47.2	16.0	48.0
11	48.0	26.0	48.0
12	47.4	16.0	48.0
13	45.9	41.0	48.0
14	47.6	61.0	48.0
15	47.8	22.0	48.0
16	48.0	11.0	48.0
17	47.4	62.0	48.0
18	47.5	16.0	48.0
19	45.5	46.0	48.0
20	46.0	24.0	48.0
21	44.9	43.0	48.0
22	47.2	0.0	48.0
23	45.6	9.0	48.0
24	46.9	0.0	48.0
25	47.0	4.0	48.0
26	47.4	0.0	48.0
27	45.4	45.0	48.0
28	45.6	0.0	48.0
29	47.6	63.0	48.0
30	46.0	16.0	48.0
31	44.8	0.0	48.0
32	47.6	0.0	48.0
33	47.1	65.0	48.0
34	47.4	9.0	48.0
35	44.4	15.0	48.0
36	45.8	36.0	48.0
37	46.1	4.0	48.0
38	45.8	4.0	48.0
39	47.1	16.0	48.0
0	51.5	26.0	52.0
1	48.2	4.0	52.0
2	51.9	44.0	52.0
3	51.5	0.0	52.0
4	48.4	0.0	52.0
5	51.0	15.0	52.0
6	50.2	0.0	52.0
7	49.0	68.0	52.0
8	51.1	57.0	52.0
9	50.0	0.0	52.0
10	49.0	23.0	52.0
11	50.8	29.0	52.0
12	49.0	56.0	52.0
13	49.1	4.0	52.0
14	49.2	19.0	52.0
15	51.4	97.0	52.0
16	48.6	22.0	52.0
17	51.6	14.0	52.0
18	50.7	26.0	52.0
19	48.4	16.0	52.0
20	51.4	96.0	52.0
21	50.9	94.0	52.0
22	49.1	22.0	52.0
23	49.8	4.0	52.0
24	49.9	4.0	52.0
25	50.9	44.0	52.0
26	50.9	23.0	52.0
27	50.2	16.0	52.0
28	49.8	35.0	52.0
29	51.7	26.0	52.0
30	51.2	0.0	52.0
31	50.2	77.0	52.0
32	52.0	16.0	52.0
33	51.8	93.0	52.0
34	51.9	69.0	52.0
35	48.7	0.0	52.0
36	51.1	50.0	52.0
37	50.4	26.0	52.0
38	50.9	16.0	52.0
39	51.0	26.0	52.0
0	54.4	104.0	56.0
1	52.5	0.0	56.0
2	52.7	36.0	56.0
3	55.5	0.0	56.0
4	52.9	0.0	56.0
5	54.0	72.0	56.0
6	54.7	101.0	56.0
7	55.8	0.0	56.0
8	55.5	56.0	56.0
9	55.6	76.0	56.0
10	55.3	22.0	56.0
11	52.5	57.0	56.0
12	52.4	93.0	56.0
13	52.3	56.0	56.0
14	54.3	69.0	56.0
15	54.3	53.0	56.0
16	53.5	129.0	56.0
17	55.9	4.0	56.0
18	52.8	24.0	56.0
19	53.8	14.0	56.0
20	55.6	22.0	56.0
21	55.5	105.0	56.0
22	54.2	36.0	56.0
23	55.4	16.0	56.0
24	55.5	23.0	56.0
25	52.1	23.0	56.0
26	52.1	14.0	56.0
27	55.7	23.0	56.0
28	54.7	60.0	56.0
29	55.7	4.0	56.0
30	54.0	109.0	56.0
31	55.9	63.0	56.0
32	55.7	0.0	56.0
33	53.4	16.0	56.0
34	56.0	57.0	56.0
35	54.2	55.0	56.0
36	55.5	114.0	56.0
37	54.7	140.0	56.0
38	55.8	16.0	56.0
39	53.6	23.0	56.0
0	59.7	127.0	60.0
1	57.4	145.0	60.0
2	58.0	66.0	60.0
3	56.6	26.0	60.0
4	57.3	14.0	60.0
5	57.0	26.0	60.0
6	58.6	16.0	60.0
7	57.4	23.0	60.0
8	59.1	0.0	60.0
9	58.8	0.0	60.0
10	58.8	4.0	60.0
11	57.0	106.0	60.0
12	58.9	22.0	60.0
13	57.4	89.0	60.0
14	56.2	0.0	60.0
15	58.2	100.0	60.0
16	56.6	26.0	60.0
17	59.1	15.0	60.0
18	57.3	0.0	60.0
19	56.4	89.0	60.0
20	58.3	23.0	60.0
21	59.7	196.0	60.0
22	57.0	0.0	60.0
23	56.3	0.0	60.0
