window	n	s	window_end	n_recovered_in_win	clade
2	40.0	6.0	12.0	64.0	0
3	40.0	13.0	16.0	84.0	0
4	40.0	14.0	20.0	112.0	0
5	40.0	18.0	24.0	125.0	0
6	40.0	16.0	28.0	178.0	0
7	40.0	10.0	32.0	324.0	0
8	40.0	25.0	36.0	478.0	0
9	40.0	28.0	40.0	807.0	0
10	40.0	32.0	44.0	1176.0	0
11	40.0	37.0	48.0	1868.0	0
12	40.0	36.0	52.0	2652.0	0
13	40.0	43.0	56.0	3354.0	0
14	40.0	43.0	60.0	4411.0	0
15	40.0	62.0	64.0	5178.0	0
16	40.0	66.0	68.0	5852.0	0
17	40.0	76.0	72.0	6197.0	0
18	40.0	53.0	76.0	6307.0	0
19	40.0	60.0	80.0	5740.0	0
20	40.0	80.0	84.0	4783.0	0
21	40.0	67.0	88.0	3824.0	0
22	40.0	91.0	92.0	2940.0	0
23	40.0	99.0	96.0	2111.0	0
24	40.0	94.0	100.0	1683.0	0
25	40.0	94.0	104.0	1129.0	0
26	40.0	86.0	108.0	800.0	0
27	40.0	83.0	112.0	484.0	0
28	40.0	70.0	116.0	328.0	0
29	40.0	63.0	120.0	205.0	0
30	40.0	69.0	124.0	110.0	0
31	40.0	40.0	128.0	55.0	0
