window	n	s	window_end	n_recovered_in_win	clade
7	40.0	17.0	32.0	52.0	0
8	40.0	19.0	36.0	99.0	0
9	40.0	16.0	40.0	178.0	0
10	40.0	27.0	44.0	269.0	0
11	40.0	32.0	48.0	386.0	0
12	40.0	34.0	52.0	655.0	0
13	40.0	60.0	56.0	923.0	0
14	40.0	43.0	60.0	1321.0	0
15	40.0	52.0	64.0	1914.0	0
16	40.0	50.0	68.0	2600.0	0
17	40.0	73.0	72.0	3531.0	0
18	40.0	81.0	76.0	4559.0	0
19	40.0	66.0	80.0	5375.0	0
20	40.0	81.0	84.0	6150.0	0
21	40.0	85.0	88.0	6485.0	0
22	40.0	69.0	92.0	6181.0	0
23	40.0	98.0	96.0	5532.0	0
24	40.0	100.0	100.0	4562.0	0
25	40.0	99.0	104.0	3763.0	0
26	40.0	121.0	108.0	2889.0	0
27	40.0	111.0	112.0	2050.0	0
28	40.0	136.0	116.0	1555.0	0
29	40.0	135.0	120.0	971.0	0
30	40.0	136.0	124.0	725.0	0
31	40.0	128.0	128.0	434.0	0
32	40.0	128.0	132.0	334.0	0
33	40.0	144.0	136.0	182.0	0
34	40.0	106.0	140.0	104.0	0
35	40.0	95.0	144.0	75.0	0
36	40.0	72.0	148.0	43.0	0
