window	n	s	window_end	n_recovered_in_win	clade
9	40.0	9.0	40.0	42.0	0
10	40.0	20.0	44.0	61.0	0
11	40.0	20.0	48.0	97.0	0
12	40.0	26.0	52.0	143.0	0
13	40.0	31.0	56.0	211.0	0
14	40.0	39.0	60.0	271.0	0
15	40.0	37.0	64.0	387.0	0
16	40.0	43.0	68.0	614.0	0
17	40.0	44.0	72.0	778.0	0
18	40.0	62.0	76.0	830.0	0
19	40.0	69.0	80.0	963.0	0
20	40.0	66.0	84.0	969.0	0
21	40.0	79.0	88.0	972.0	0
22	40.0	78.0	92.0	994.0	0
23	40.0	73.0	96.0	1023.0	0
24	40.0	88.0	100.0	940.0	0
25	40.0	86.0	104.0	920.0	0
26	40.0	106.0	108.0	878.0	0
27	40.0	98.0	112.0	809.0	0
28	40.0	111.0	116.0	892.0	0
29	40.0	102.0	120.0	799.0	0
30	40.0	85.0	124.0	780.0	0
31	40.0	100.0	128.0	692.0	0
32	40.0	118.0	132.0	687.0	0
33	40.0	139.0	136.0	606.0	0
34	40.0	107.0	140.0	571.0	0
35	40.0	127.0	144.0	515.0	0
36	40.0	139.0	148.0	431.0	0
37	40.0	140.0	152.0	403.0	0
38	40.0	103.0	156.0	368.0	0
39	40.0	127.0	160.0	367.0	0
40	40.0	141.0	164.0	327.0	0
41	40.0	149.0	168.0	318.0	0
42	40.0	147.0	172.0	338.0	0
43	40.0	123.0	176.0	274.0	0
44	40.0	153.0	180.0	262.0	0
45	40.0	148.0	184.0	241.0	0
46	40.0	148.0	188.0	230.0	0
47	40.0	140.0	192.0	187.0	0
48	40.0	143.0	196.0	172.0	0
49	40.0	131.0	200.0	165.0	0
